study_hours,attendance,assignments,previous_grade,success
7,75,2,8,0
4,66,12,5,0
8,89,16,19,1
5,82,0,9,0
7,58,5,13,0
3,92,5,5,0
7,97,11,13,1
8,88,12,15,1
5,78,12,19,1
4,91,14,12,1
8,75,15,10,0
8,84,10,11,1
3,99,4,7,0
6,74,3,18,0
5,73,2,19,0
2,62,18,5,0
8,56,19,9,0
6,85,17,18,1
2,94,14,16,1
5,69,8,16,0
1,50,16,6,0
6,57,13,18,1
9,95,14,9,1
1,65,0,12,0
3,63,2,15,0
7,61,15,13,1
4,72,10,6,0
9,64,11,16,1
3,77,9,7,0
5,83,15,7,1
3,51,7,5,0
7,81,5,12,1
5,72,11,10,0
9,71,7,16,0
7,74,3,17,0
2,71,7,12,0
4,71,17,15,0
9,98,4,13,1
2,91,8,9,0
9,55,3,18,0
5,64,16,16,1
2,92,8,18,0
4,86,0,7,0
7,82,19,9,1
8,57,12,9,0
3,93,15,9,0
1,93,12,7,0
4,54,13,15,0
2,88,2,18,0
8,53,5,14,0
4,55,17,18,0
2,94,18,8,0
6,81,4,13,1
6,79,14,17,1
4,96,1,14,0
6,84,9,13,1
2,89,17,6,0
2,65,12,12,0
4,62,4,12,0
8,99,0,11,1
7,91,0,12,1
9,79,17,18,1
8,68,14,7,0
5,66,16,17,1
2,68,10,10,0
5,77,16,5,1
8,75,12,11,1
9,86,0,19,1
9,75,1,19,0
1,72,8,5,0
9,58,2,13,0
7,61,0,5,0
9,50,15,5,0
8,50,5,19,0
1,96,16,11,1
8,83,4,6,0
8,81,4,18,1
3,97,5,9,0
1,74,2,12,0
8,89,4,12,1
3,94,4,7,0
3,50,9,11,0
1,65,9,7,0
5,88,18,10,1
7,54,16,10,0
9,71,13,7,0
7,78,8,11,1
9,52,13,7,0
8,61,0,12,0
2,75,18,14,0
1,65,12,8,0
7,86,12,19,1
7,71,3,19,0
8,78,0,17,1
5,63,16,5,0
3,77,7,8,0
8,54,1,18,0
6,96,7,11,1
3,98,6,15,0
1,79,1,8,0
3,95,2,17,0
5,54,17,10,0
3,61,11,13,0
1,65,0,5,0
5,75,11,17,1
7,75,4,9,0
7,97,16,15,1
9,70,15,11,1
3,88,14,5,0
7,85,14,18,1
1,82,4,8,0
4,79,13,10,0
4,86,1,6,0
5,72,10,14,0
7,59,18,9,0
7,54,6,15,0
4,85,5,14,0
7,83,1,5,0
3,80,5,10,0
6,59,17,10,0
2,68,1,17,0
9,81,17,19,1
5,50,14,19,1
6,54,18,8,0
4,94,1,17,0
7,53,19,12,1
9,65,5,8,0
7,73,0,12,0
1,65,14,19,0
1,51,9,17,0
9,98,18,12,1
9,77,16,9,1
4,81,4,17,0
9,76,3,19,1
3,69,9,8,0
7,73,16,16,1
6,61,9,17,0
8,99,16,6,1
9,84,19,15,1
5,82,4,19,1
1,82,1,7,0
3,92,5,7,0
8,86,1,8,0
6,61,12,8,0
8,52,10,14,0
9,50,10,15,0
4,82,15,15,1
1,89,10,9,0
1,59,18,8,0
4,92,14,15,1
7,93,15,18,1
2,78,10,14,0
3,62,15,12,0
1,61,7,10,0
5,80,3,10,0
1,95,7,12,0
8,51,3,11,0
1,99,2,19,0
1,84,2,14,0
2,72,17,18,0
2,66,18,15,0
6,75,18,16,1
7,57,4,14,0
5,78,17,17,1
1,75,9,12,0
1,59,5,18,0
3,75,0,6,0
2,83,4,13,0
5,90,8,5,0
6,56,11,19,1
